"date","open","high","low","close","volume","fear_greed_value","classification"
2018-02-01,10285.10000000,10335.00000000,8750.99000000,9224.52000000,33564.7643110000,30,Fear
2018-02-02,9224.52000000,9250.00000000,8010.02000000,8873.03000000,49971.6269750000,15,Extreme Fear
2018-02-03,8873.03000000,9473.01000000,8229.00000000,9199.96000000,28725.0007350000,40,Fear
2018-02-04,9199.96000000,9368.00000000,7930.00000000,8184.81000000,32014.3084490000,24,Extreme Fear
2018-02-05,8179.99000000,8382.80000000,6625.00000000,6939.99000000,63403.1825790000,11,Extreme Fear
2018-02-06,6939.63000000,7878.00000000,6000.01000000,7652.14000000,100201.5003070000,8,Extreme Fear
2018-02-07,7655.02000000,8476.00000000,7150.01000000,7599.00000000,60778.4604970000,36,Fear
2018-02-08,7599.00000000,7844.00000000,7572.09000000,7784.02000000,1521.5373180000,30,Fear
2018-02-09,7789.90000000,8738.00000000,7789.90000000,8683.92000000,20482.9108250000,44,Fear
2018-02-10,8683.93000000,9065.78000000,8120.00000000,8533.98000000,49381.5126530000,54,Neutral
2018-02-11,8533.99000000,8549.00000000,7726.53000000,8063.88000000,45025.1879520000,31,Fear
2018-02-12,8063.82000000,8989.00000000,8053.00000000,8903.00000000,41987.8504900000,42,Fear
2018-02-13,8903.00000000,8950.00000000,8351.00000000,8539.90000000,35454.9729560000,35,Fear
2018-02-14,8535.17000000,9489.60000000,8533.00000000,9449.99000000,40811.9528670000,55,Greed
2018-02-15,9449.98000000,10219.50000000,9301.50000000,10000.09000000,52427.5967150000,71,Greed
2018-02-16,10000.89000000,10323.37000000,9666.00000000,10159.98000000,38161.2059740000,67,Greed
2018-02-17,10156.07000000,11075.07000000,10050.00000000,11039.55000000,41882.1084070000,74,Greed
2018-02-18,11039.55000000,11274.00000000,10080.00000000,10383.43000000,61137.3807280000,63,Greed
2018-02-19,10375.01000000,11250.00000000,10270.33000000,11153.00000000,40831.4171310000,67,Greed
2018-02-20,11147.11000000,11786.01000000,11100.59000000,11200.99000000,48153.3542880000,74,Greed
