id,crypto,open_time,close_time,open,high,low,close,volume
1,BTC,2025-11-12 18:00:00,2025-11-12 19:00:00,101788.23430908,101788.23430908,101788.23430908,101788.23430908,"60166445646.9584200000"
2,BTC,2025-11-12 19:00:00,2025-11-12 20:00:00,101504.32134664,101504.32134664,101504.32134664,101504.32134664,"60659259964.1703300000"
3,BTC,2025-11-12 20:00:00,2025-11-12 21:00:00,101260.93984772,101260.93984772,101260.93984772,101260.93984772,"62238602450.5189000000"
4,BTC,2025-11-12 21:00:00,2025-11-12 22:00:00,101630.51242062,101630.51242062,101630.51242062,101630.51242062,"62435129342.3278800000"
5,BTC,2025-11-12 22:00:00,2025-11-12 23:00:00,101801.95999693,101801.95999693,101801.95999693,101801.95999693,"62690876458.0254300000"
6,BTC,2025-11-12 23:00:00,2025-11-13 00:00:00,101913.39330234,101913.39330234,101913.39330234,101913.39330234,"63311123495.2454450000"
7,BTC,2025-11-13 00:00:00,2025-11-13 01:00:00,101633.69431606,101633.69431606,101633.69431606,101633.69431606,"63477601852.1541700000"
8,BTC,2025-11-13 01:00:00,2025-11-13 02:00:00,101876.29048796,101876.29048796,101876.29048796,101876.29048796,"65597099399.5084100000"
9,BTC,2025-11-13 02:00:00,2025-11-13 03:00:00,101981.87201998,101981.87201998,101981.87201998,101981.87201998,"66648803699.2933200000"
10,BTC,2025-11-13 03:00:00,2025-11-13 04:00:00,102054.40332265,102054.40332265,102054.40332265,102054.40332265,"67212313661.8094700000"
11,BTC,2025-11-13 04:00:00,2025-11-13 05:00:00,102044.49319184,102044.49319184,102044.49319184,102044.49319184,"71044793905.1782200000"
12,BTC,2025-11-13 05:00:00,2025-11-13 06:00:00,102073.42099659,102073.42099659,102073.42099659,102073.42099659,"70956056748.0057200000"
13,BTC,2025-11-13 06:00:00,2025-11-13 07:00:00,103029.50743186,103029.50743186,103029.50743186,103029.50743186,"73592884457.0588800000"
14,BTC,2025-11-13 07:00:00,2025-11-13 08:00:00,103562.66143693,103562.66143693,103562.66143693,103562.66143693,"75051575410.3013300000"
15,BTC,2025-11-13 08:00:00,2025-11-13 09:00:00,103422.50068576,103422.50068576,103422.50068576,103422.50068576,"76066848304.3191500000"
16,BTC,2025-11-13 09:00:00,2025-11-13 10:00:00,103690.14874446,103690.14874446,103690.14874446,103690.14874446,"75414401217.4540700000"
17,BTC,2025-11-13 10:00:00,2025-11-13 11:00:00,102648.55558586,102648.55558586,102648.55558586,102648.55558586,"74160307926.9670700000"
18,BTC,2025-11-13 11:00:00,2025-11-13 12:00:00,102954.65291007,102954.65291007,102954.65291007,102954.65291007,"74197949853.3788000000"
19,BTC,2025-11-13 12:00:00,2025-11-13 13:00:00,103003.95298511,103003.95298511,103003.95298511,103003.95298511,"73866581438.6078800000"
20,BTC,2025-11-13 13:00:00,2025-11-13 14:00:00,103114.55691492,103114.55691492,103114.55691492,103114.55691492,"74230360936.7931800000"
21,BTC,2025-11-13 14:00:00,2025-11-13 15:00:00,102241.51278596,102241.51278596,102241.51278596,102241.51278596,"75801899608.9972200000"
22,BTC,2025-11-13 15:00:00,2025-11-13 16:00:00,102691.14476975,102691.14476975,102691.14476975,102691.14476975,"78464094736.9418300000"
23,BTC,2025-11-13 16:00:00,2025-11-13 17:00:00,101345.79363172,101345.79363172,101345.79363172,101345.79363172,"76077583177.6760900000"
24,BTC,2025-11-13 17:00:00,2025-11-13 18:00:00,100550.22498409,100550.22498409,100550.22498409,100550.22498409,"78093931548.2545200000"
25,BTC,2025-11-13 18:00:00,2025-11-13 19:00:00,"99868.93466120","99868.93466120","99868.93466120","99868.93466120","79890201448.7423400000"
26,BTC,2025-11-13 19:00:00,2025-11-13 20:00:00,98499.58929938,98499.58929938,98499.58929938,98499.58929938,"90601292337.1020200000"
27,BTC,2025-11-13 20:00:00,2025-11-13 21:00:00,98471.69742858,98471.69742858,98471.69742858,98471.69742858,"93339316770.1331300000"
28,BTC,2025-11-13 21:00:00,2025-11-13 22:00:00,98191.19350471,98191.19350471,98191.19350471,98191.19350471,"97276008456.8913700000"
29,BTC,2025-11-13 22:00:00,2025-11-13 23:00:00,98820.12839738,98820.12839738,98820.12839738,98820.12839738,"98090402780.4684600000"
30,BTC,2025-11-13 23:00:00,2025-11-14 00:00:00,99564.31976292,99564.31976292,99564.31976292,99564.31976292,"100642305049.3455800000"
31,BTC,2025-11-14 00:00:00,2025-11-14 01:00:00,99480.30709081,99480.30709081,99480.30709081,99480.30709081,"102195102447.3059700000"
32,BTC,2025-11-14 01:00:00,2025-11-14 02:00:00,98848.80307502,98848.80307502,98848.80307502,98848.80307502,"103713216300.0713000000"
33,BTC,2025-11-14 02:00:00,2025-11-14 03:00:00,99440.00117061,99440.00117061,99440.00117061,99440.00117061,"104823469891.8571600000"
34,BTC,2025-11-14 03:00:00,2025-11-14 04:00:00,"99577.62299960","99577.62299960","99577.62299960","99577.62299960","105209958475.6528500000"
35,BTC,2025-11-14 04:00:00,2025-11-14 05:00:00,99036.19227896,99036.19227896,99036.19227896,99036.19227896,"103504388352.0837200000"
36,BTC,2025-11-14 05:00:00,2025-11-14 06:00:00,97848.91128622,97848.91128622,97848.91128622,97848.91128622,"107609287207.6756900000"
37,BTC,2025-11-14 06:00:00,2025-11-14 07:00:00,97446.63680865,97446.63680865,97446.63680865,97446.63680865,"109540832047.9355600000"
38,BTC,2025-11-14 07:00:00,2025-11-14 08:00:00,96564.41622008,96564.41622008,96564.41622008,96564.41622008,"110920668404.4582200000"
39,BTC,2025-11-14 08:00:00,2025-11-14 09:00:00,97079.06996429,97079.06996429,97079.06996429,97079.06996429,"111885979246.5138200000"
40,BTC,2025-11-14 09:00:00,2025-11-14 10:00:00,"97312.89945760","97312.89945760","97312.89945760","97312.89945760","115329545717.5036600000"
41,BTC,2025-11-14 10:00:00,2025-11-14 11:00:00,96795.18129222,96795.18129222,96795.18129222,96795.18129222,"115009088106.8210400000"
42,BTC,2025-11-14 11:00:00,2025-11-14 12:00:00,96920.28920656,96920.28920656,96920.28920656,96920.28920656,"115382169168.0100600000"
43,BTC,2025-11-14 12:00:00,2025-11-14 13:00:00,95819.68691459,95819.68691459,95819.68691459,95819.68691459,"116764126272.1377400000"
44,BTC,2025-11-14 13:00:00,2025-11-14 14:00:00,95296.60503082,95296.60503082,95296.60503082,95296.60503082,"123356342588.4474500000"
45,BTC,2025-11-14 14:00:00,2025-11-14 15:00:00,95241.05644599,95241.05644599,95241.05644599,95241.05644599,"122610904457.9091000000"
46,BTC,2025-11-14 15:00:00,2025-11-14 16:00:00,96362.58649576,96362.58649576,96362.58649576,96362.58649576,"130022635984.5229000000"
47,BTC,2025-11-14 16:00:00,2025-11-14 17:00:00,96819.65495389,96819.65495389,96819.65495389,96819.65495389,"130207211401.5898400000"
48,BTC,2025-11-14 17:00:00,2025-11-14 18:00:00,96955.42146984,96955.42146984,96955.42146984,96955.42146984,"128063417985.8094500000"
49,BTC,2025-11-14 18:00:00,2025-11-14 19:00:00,95919.93121647,95919.93121647,95919.93121647,95919.93121647,"124971893782.1459700000"
50,BTC,2025-11-14 19:00:00,2025-11-14 20:00:00,"94949.47686170","94949.47686170","94949.47686170","94949.47686170","118795853846.1451400000"
51,BTC,2025-11-14 20:00:00,2025-11-14 21:00:00,95680.15817119,95680.15817119,95680.15817119,95680.15817119,"116688174420.8708000000"
52,BTC,2025-11-14 21:00:00,2025-11-14 22:00:00,94283.31837756,94283.31837756,94283.31837756,94283.31837756,"114842404711.1349600000"
53,BTC,2025-11-14 22:00:00,2025-11-14 23:00:00,94984.54902474,94984.54902474,94984.54902474,94984.54902474,"115558246168.8383800000"
54,BTC,2025-11-14 23:00:00,2025-11-15 00:00:00,95035.69620766,95035.69620766,95035.69620766,95035.69620766,"114989307912.6300200000"
55,BTC,2025-11-15 00:00:00,2025-11-15 01:00:00,94456.39368235,94456.39368235,94456.39368235,94456.39368235,"113198323665.3887300000"
56,BTC,2025-11-15 01:00:00,2025-11-15 02:00:00,95056.92230654,95056.92230654,95056.92230654,95056.92230654,"111154253143.9337000000"
57,BTC,2025-11-15 02:00:00,2025-11-15 03:00:00,95431.29146613,95431.29146613,95431.29146613,95431.29146613,"111257340541.3358800000"
58,BTC,2025-11-15 03:00:00,2025-11-15 04:00:00,96031.12559502,96031.12559502,96031.12559502,96031.12559502,"112635932908.0918400000"
59,BTC,2025-11-15 04:00:00,2025-11-15 05:00:00,96298.38479151,96298.38479151,96298.38479151,96298.38479151,"112627757640.0425300000"
60,BTC,2025-11-15 05:00:00,2025-11-15 06:00:00,96047.48657299,96047.48657299,96047.48657299,96047.48657299,"107629025320.8343000000"
61,BTC,2025-11-15 06:00:00,2025-11-15 07:00:00,96265.25024186,96265.25024186,96265.25024186,96265.25024186,"105770352264.2847400000"
62,BTC,2025-11-15 07:00:00,2025-11-15 08:00:00,95977.49525467,95977.49525467,95977.49525467,95977.49525467,"100791328607.8810100000"
63,BTC,2025-11-15 08:00:00,2025-11-15 09:00:00,"96254.50899880","96254.50899880","96254.50899880","96254.50899880","98404516272.9018600000"
64,BTC,2025-11-15 09:00:00,2025-11-15 10:00:00,95694.22203844,95694.22203844,95694.22203844,95694.22203844,"97777190106.4965000000"
65,BTC,2025-11-15 10:00:00,2025-11-15 11:00:00,95745.88184706,95745.88184706,95745.88184706,95745.88184706,"96826614080.8539400000"
66,BTC,2025-11-15 11:00:00,2025-11-15 12:00:00,95927.01760474,95927.01760474,95927.01760474,95927.01760474,"95482290557.9841500000"
